ParticipantID,NLL,Fitted_lr1,Fitted_lr2,Fitted_lam,Fitted_w,Fitted_p,Fitted_a_bs,Fitted_ndt,Fitted_v_stage_0,Fitted_v_stage_1
1,-1.5513031587577573,0.21115679423162234,0.926942008393802,0.8310914429039061,0.0,1.0,0.6280118399513828,0.28790971445666996,10.0,2.6198885921652666
2,-2.0426041541055113,0.16563652354195327,0.9563430993639805,1.0,0.0,1.0,0.5401165997737222,0.24922063672938308,10.0,4.507906791191618
3,-1.8178958156243485,0.1132349227991188,0.951768887669341,0.8040923335658982,0.0,1.0,0.6588911370217314,0.25841835374107874,10.0,4.861337409058396
4,-1.1982913091965899,0.45129312648759423,0.9268800308979493,0.5492319981693718,0.2861269240158634,1.0,0.7588415709265369,0.3175060177860143,10.0,2.5862708772686176
5,497.02740404146414,0.8707323061773764,0.48841118879482914,0.5184179878729432,0.08074126876487486,-0.6833802645746976,1.6508805454635602,1.0,2.846858806413638,1.4416430065342045
6,-1.7154440134326883,0.14861058251191395,0.9225172252583006,1.0,0.0,1.0,0.6668280165748663,0.22853535997257585,10.0,4.31229518748468
7,-1.4232310672525947,0.20450627802600538,0.9096616410033166,0.6947090068494223,0.0,1.0,0.7246041304623055,0.24979562072114095,10.0,2.9807093632188666
8,-1.4144817549104294,0.1662646752895042,0.9295103487890124,0.9762543826766918,0.0,1.0,0.7116012669246394,0.23477798409114564,10.0,2.5330142079535642
9,-1.7336864699529406,0.12138128197225023,0.8995224778468578,1.0,0.0,1.0,0.6463777513630188,0.2892556960790093,10.0,4.03878118346747
10,-1.4239257184546628,0.20271371809381514,0.9470245298819884,0.833728575747867,0.0,1.0,0.6642430728872578,0.3594249760978735,10.0,2.456085578562038
11,-1.757507986569405,0.11238317923037598,0.9890806723055129,1.0,0.3623419781505529,1.0,0.6577385756293331,0.2973883137562334,10.0,5.059522491490849
12,-1.1946594523207121,0.6628645763909359,0.909797213038096,0.5695824415645944,0.4132894669473594,1.0,0.7701630138981436,0.29346091183298567,10.0,3.711430287066112
13,-1.3433184808349745,0.21874696630645718,0.9153039708943508,0.7318597628153795,0.0,1.0,0.7519919648727805,0.279719312325644,10.0,2.8373346359490186
14,-1.5999472087612159,0.11978926157662934,0.9597748778413235,0.9934864126387434,0.0,1.0,0.7800530689565662,0.3084502446719112,10.0,3.668394431249661
15,-1.5722626957086998,0.1270885831269536,1.0,0.974628087414543,0.0,1.0,0.8171408669380293,0.2915648771577375,10.0,3.923497795916983
16,-1.488097264578204,0.3480192751176499,0.8605629226824387,0.43733245524635933,0.06983532582707833,1.0,0.7043380694610415,0.3133583048741409,10.0,5.114851334596876
17,-1.1502021475531379,0.18845317985226148,0.8412869528801885,0.8112287798560134,0.0,1.0,0.8119559728168662,0.3210570151245213,10.0,2.2138634272235818
18,-1.475980285880123,0.24121622850624122,1.0,0.9134989060724731,0.0,1.0,0.6987512352436795,0.33851909345106634,10.0,2.7176687510749393
19,-1.5504766129684184,0.10636537377698815,1.0,1.0,0.06372850074428194,1.0,0.7702937206401189,0.3234391401792215,10.0,3.2885150587461394
20,-1.3481762063488831,0.15746286409498153,0.9220236846153556,0.8613753270030606,0.0,1.0,0.7700546208191118,0.21611385633244098,10.0,2.011497647749417
21,-1.6606040935117292,0.10645936876229843,0.9980976910356179,1.0,0.0,1.0,0.6808653513546976,0.31493074098305374,10.0,2.86848511696349
22,-1.525461005064915,0.1694951622308256,0.8666993045968663,0.8251564458778055,0.0,1.0,0.7358150422396177,0.3599085476969263,10.0,3.6090192758835693
23,-1.5992836825139647,0.21969757835316703,1.0,1.0,0.41479511189479573,1.0,0.6736050886921585,0.3084301259758612,10.0,3.238570968078208
24,497.02927550938995,0.699512049949576,0.361056353964058,0.3163469777906084,0.3205192835651931,0.800284861046747,2.263248147760845,1.0,6.311697774551956,8.935671519207611
25,-0.9818544775532908,0.8519746185623319,0.9786195927033131,0.5022974160309656,0.7543123516885237,0.9145965880309055,0.7447919525916632,0.3011881390073391,10.0,2.855600073430438
26,-1.7230186545335673,0.11247960917859419,0.9946204028159582,1.0,0.0,1.0,0.7068360178666523,0.3160779157899919,10.0,4.016879304031455
27,-1.6176247844989253,0.15746391087844167,0.8640598555887108,1.0,0.0,1.0,0.6559949925834392,0.27258977223959474,10.0,3.616965647346153
28,-1.52095455254298,0.1342094523990046,0.9268608493306021,1.0,0.0,1.0,0.7911635376141104,0.28581385456022684,10.0,3.930172558425966
29,-1.7622944432886483,0.13515954537655409,0.9709132232090164,0.8994109098647417,0.0,1.0,0.7106474066649879,0.2661736150164205,10.0,4.537518926389066
30,-1.0345062760640098,0.018230931990084832,1.0,1.0,0.7848840089107447,0.9227689179156907,0.8453965407386522,0.33775809224607406,10.0,2.619775892431164
31,-1.5853787971362172,0.09927938615255513,1.0,1.0,0.015252793259751665,1.0,0.7331432628242714,0.2661463114755519,10.0,3.059117164752793
32,-1.6759231951902083,0.13527690398548523,0.926218223834171,1.0,0.0,1.0,0.7254035801579044,0.2527869260066027,10.0,4.092397316659047
33,-1.4071492626980835,0.10922078122455611,1.0,1.0,0.2790389590711252,1.0,0.7745461911323316,0.3139130331740481,10.0,2.6345970451947647
34,-1.6569302639492751,0.11305437287418127,0.9247712753809698,1.0,0.0,1.0,0.6924996628501986,0.2986023535018011,10.0,3.6822382495093446
35,-1.1940308040517162,0.1723548992852463,0.9095002056290683,0.9851407829596522,0.0,1.0,0.7847638131786929,0.3109571764735201,10.0,1.9936877165367186
36,-1.4744034889352138,0.19744258227738737,1.0,0.748313820098267,0.21448484683039157,1.0,0.8202589288064941,0.3542647019995958,10.0,3.6713664025984456
37,-1.6055738279151712,0.1979422185158526,0.8788298737197419,0.6196560069379645,0.0,1.0,0.7388349212726243,0.32518540130365087,10.0,4.695657285336078
38,-1.5730408535464186,0.13815667774781784,1.0,0.9939729266903209,0.0,1.0,0.7721704133374102,0.3104174760109,10.0,3.008975341873383
